,id,date,dateYear,dateMonth,dateDay,rating,userName,content
0,1,20221001,2022,10,01,1,이투덜,기존에 쓰고 있는 어플을 업로드하면서 쓰면 되는데.. 괜히 다른앱을 만들어서 잡다한 서비스에 광고도 많고 복잡하게 만들어서 사용하기 불편하네요. 아직 완전한 앱도 아닌듯하고 몇일전부터 뭐 확인할려면 지연된다는 문구가 뜨고 답답하네요. 완전히 실행가능할때 사용해도 늦지 않을듯 싶은데.. 뭐가 그리 급했는지...
1,2,20220928,2022,09,28,1,헤도니카냥냥,"재밌는사실 하나를 알려주기전에, 이 어플 UI제작자는 구조조정 대상 1순위임에 부족함 한점 없음을 밝힌다. 마이페이지 들어가려면 마이를 누르고 잠시 번쩍하고 사라지는 메뉴에서 회원정보 변경을 빠르게 연타하면 들어갈수있다. 그리고 가끔 로딩중 나타나는 버튼들을 누르면 낮은확률로 비밀맵을 볼수있다. 놀랍게도 실화다. 사실 마이페이지에 들어가서 챗봇에게 검색하는게 제일간단하다. 하지만 나는 일단 고객센터를 통해 이 버그투성이인 흥미로운 어플을 상담원과 함께 알아가볼것이다. 어떻게 이런것이 아직도 밝혀지지않은것일까 그게 진정한 미스테리이다"
2,3,20220819,2022,08,19,2,yeseul yang,너무 메뉴가 많아서 그런지.. 이벤트의 경우도 이런 루트로 접속하면 다른 메뉴창이 뜨고 다른 루트로 접속하면 또 다르고.. 한번에 쉽게 찾아가는게 아닌 몇번을 돌아가게 되는것 같습니다. 분명 숏컷이 있었는데 복잡하고 메뉴화면도 여러개인듯 하여 헤매게되요... 이렇게 메뉴찾기 복잡한 앱 손에 꼽는데 지금 쓰는 앱중엔 제일 찾기힘드네요
3,4,20220909,2022,09,09,1,이윤한,1) 한 눈에 안 들어오는 UI/ 기능은 쓸데없이 많아서 UI가 난잡하다. 거기다 업데이트는 필요 이상으로 자주해서 UI가 눈에 익으려고 하면 또 바뀌어 있음. 근데 바뀌었다고 해서 나아지진 않음. 2) 앱이 너무 무겁다/ 기능을 너무 많이 집어 넣어서 간편하게 결제할 수 있는 삼성페이에 밀릴 수 밖에 없음. 솔직히 모바일 결제핼 때만 QR 찍느라만 쓰는 듯. 배터리도 매우 많이 잡아 먹는다.
4,5,20220906,2022,09,06,2,박찬근,"신한플러스의 걸음수가 워치를 통해서도 동기화되었으면 좋겠습니다. 신한라이프의 닐리리만보 어플은 웨어러블 정보로 걸음수가 카운트되었는데, 신한플러스의 경우 무조건 폰 걸음수만 측정하니 상당히 불편하네요. 셀룰러 워치를 쓰는 이유가 폰을 두고 운동 나가도 가능하다는 장점이 있기 때문인데, 신한플러스의 만보기는 이 장점을 퇴색시키는 것 같습니다."
5,6,20220830,2022,08,30,1,디텔디테일,"처음예 몇번은 썼는데 너무 복잡한 앱이라 쓰기 어려워요 메뉴가 직관적이지 않고 사용이 불편해 쓸일이 있어도 꺼려지고 카드를 정리할까 고민하게 됩니다. 요즘은 ""고객님의 안전한 가입을 위해 와이파이 또는 VPN 연결을 해제하고 다시 가입해주세요""라면서 홈화면에서 더 이상 사용도 안됩니다. 수고하시며 만들었을텐데 안타깝네요"
6,7,20220729,2022,07,29,2,현구 바오로,노트10 사용자인데 배터리가 1년도 사용 못한 폰이 급격히 닳아서 삼성전자 A/S센터에 배터리 교체하러 그 먼길을 1시간 정도 소요해서 찾았더니 기사분이 바로 이 어플 신한플레이가 배터리 광탈의 주원인이고 신한측에 개선요구를 여러차례 촉구했는데 아직 개선되지 못했다고 하네요. 결국 배터리 효율은 100%라서 헛걸음에 귀가했어요. 정말 허망하네요. 빠른 업그레이드와 개선을 촉구합니다.
7,8,20220820,2022,08,20,1,HS Shin,"업데이트 할 때마다 갈수록 앱은 무거워지고, 이제는 빠릿빠릿 잘 돌아가던 폰이 앱만 실행하면 버벅버벅 앱은 커녕 폰을 거의 사용을 못할 지경이네요... 폰이 최신은 아니지만, 스펙이 그렇게 떨어지는것도 아니고, 스냅 845면 나름 아직도 충분한 스펙인데... 도저히 버벅거리고 느려터져서 못쓰겠네요...신한플레이 앱도 문제지만, V3만 뜨면 그런것 같음...이 앱만 종료하면 거짓말처럼 폰이 빠릿빠릿 다시 정상으로 돌아옴...-------- 추가 : 와 신규카드 신청하는데 한시간 걸림. 느릿느릿 버튼 한번 누르면 한 5초 있다가 반응하고. 그렇게 UI 반응이 느리니 자꾸 잘못 누르게 되고 카드홈 화면으로 빠져나가면서 로그아웃 되어있고...3번 실패하고 4번째에 겨우 성공...와 진심 도대체 이 앱을 어떻게 쓰라고 만든건지? 이렇게 해서 영업 되나요? 진짜 쓰다가 빡쳐서 폰 집어던지고 싶어짐. 진짜 안드 초창기부터 지금까지 10년 넘게 써온 앱들중 이렇게 반응 느려터지고 답답한 앱은 처음"
8,9,20220804,2022,08,04,1,dikie oh,너무 느려요. 초기화면에 팝업 광고도 넘 느리고 닫기도 한참 뒤에 되고 결제 바로가기 아이콘을 바탕화면에 두고 결제시 눌러도 한팜 걸리거나 가끔씩 오류뜨고.. 앱 개편전이 훨씬 나았어요 개편후 시간이 지나면 안정화 될 꺼라 생각했는데 더 무거워져서 넘 느려요.. 너무 느려요.. 마이샵.. 탑스클럽.. 제 폰은 갤럭시s22 울트라 입니다..폰이 문제인가요?
9,10,20220926,2022,09,26,1,buck baek,"몹시 불편한 ui,버그투성이, 가장 기본적인 카드 및 내역 확인을 매우 불편하게 만들어놓음 특히 첫 화면 카드 스크롤 형식. 사람들이 많이 사용하는 카카오페이나 토스, 혹은 다른 은행 앱을 본받을 필요가있음, 잡다한 서비스를 의미하는것이 아닌 가장 기본적인 카드 앱의 편의성이 전혀없음. 사용한 모든 은행, 카드 앱들중 매우 난잡하고 버그투성이에 불편하다.. 로그인 안되서 다시 설치하라했는데 로그인도 안되고... 진짜 열받네..위에서 시키니 이렇게 난잡하고 흉물스럽게 만들었겠지 ㅠㅠ"
